Latitude (decimal degrees):	59.794
Longitude (decimal degrees):	7.568
Elevation (m):	914
Radiation database:	PVGIS-SARAH3


Slope: 46 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20201219:0811,0.0,0.0,0.0,1.45,2.28,0.0
20201219:0911,0.0,1.64,2.28,1.48,2.34,0.0
20201219:1011,0.0,5.15,5.36,1.59,2.41,0.0
20201219:1111,0.61,7.03,6.73,1.52,2.41,0.0
20201219:1211,0.23,6.1,6.3,1.42,2.48,0.0
20201219:1311,0.0,3.37,4.08,1.33,2.55,0.0
20201219:1411,0.0,0.0,0.0,1.18,2.41,0.0
20201219:1511,0.0,0.0,0.0,1.09,2.41,0.0
20201219:1611,0.0,0.0,0.0,0.97,2.48,0.0
20201219:1711,0.0,0.0,0.0,0.66,2.55,0.0
20201219:1811,0.0,0.0,0.0,0.45,2.62,0.0
20201219:1911,0.0,0.0,0.0,0.41,3.03,0.0
20201219:2011,0.0,0.0,0.0,0.37,3.1,0.0
20201219:2111,0.0,0.0,0.0,0.36,3.59,0.0
20201219:2211,0.0,0.0,0.0,0.31,3.17,0.0
20201219:2311,0.0,0.0,0.0,0.29,2.76,0.0
20201220:0011,0.0,0.0,0.0,0.35,2.34,0.0
20201220:0111,0.0,0.0,0.0,0.22,2.14,0.0
20201220:0211,0.0,0.0,0.0,0.36,2.28,0.0
20201220:0311,0.0,0.0,0.0,0.49,2.34,0.0
20201220:0411,0.0,0.0,0.0,0.53,2.34,0.0
20201220:0511,0.0,0.0,0.0,0.59,2.48,0.0
20201220:0611,0.0,0.0,0.0,0.64,2.69,0.0
20201220:0711,0.0,0.0,0.0,0.36,3.52,0.0
20201220:0811,0.0,0.0,0.0,0.07,3.1,0.0
20201220:0911,0.0,1.63,2.24,0.22,2.76,0.0
20201220:1011,17.64,32.37,5.33,0.14,2.69,0.0
20201220:1111,1.44,8.78,6.71,0.48,3.24,0.0
20201220:1211,0.6,6.98,6.29,0.56,3.17,0.0
20201220:1311,0.15,5.89,4.09,0.57,3.03,0.0
20201220:1411,0.0,0.0,0.0,0.51,3.31,0.0
20201220:1511,0.0,0.0,0.0,0.31,3.1,0.0
20201220:1611,0.0,0.0,0.0,0.13,2.97,0.0
20201220:1711,0.0,0.0,0.0,-0.2,2.69,0.0
20201220:1811,0.0,0.0,0.0,-0.1,2.69,0.0
20201220:1911,0.0,0.0,0.0,-0.06,2.97,0.0
20201220:2011,0.0,0.0,0.0,-0.29,2.41,0.0
20201220:2111,0.0,0.0,0.0,-0.23,2.14,0.0
20201220:2211,0.0,0.0,0.0,-0.35,2.07,0.0
20201220:2311,0.0,0.0,0.0,-0.94,1.93,0.0
20201221:0011,0.0,0.0,0.0,-1.11,1.79,0.0
20201221:0111,0.0,0.0,0.0,-0.98,1.66,0.0
20201221:0211,0.0,0.0,0.0,-0.83,1.86,0.0
20201221:0311,0.0,0.0,0.0,-0.78,1.79,0.0
20201221:0411,0.0,0.0,0.0,-1.09,2.07,0.0
20201221:0511,0.0,0.0,0.0,-1.19,2.07,0.0
20201221:0611,0.0,0.0,0.0,-1.14,2.34,0.0
20201221:0711,0.0,0.0,0.0,-1.2,2.14,0.0
20201221:0811,0.0,0.0,0.0,-1.21,2.0,0.0
20201221:0911,0.0,1.63,2.2,-1.21,1.79,0.0
20201221:1011,0.0,5.15,5.3,-1.4,1.72,0.0
20201221:1111,1.47,8.78,6.7,-1.49,1.72,0.0
20201221:1211,3.86,13.08,6.29,-1.36,1.79,0.0
20201221:1311,4.63,14.32,4.11,-1.66,1.79,0.0
20201221:1411,0.0,0.0,0.0,-1.36,1.86,0.0
20201221:1511,0.0,0.0,0.0,-1.17,1.93,0.0
20201221:1611,0.0,0.0,0.0,-1.19,1.86,0.0
20201221:1711,0.0,0.0,0.0,-1.1,1.93,0.0
20201221:1811,0.0,0.0,0.0,-0.86,2.14,0.0
20201221:1911,0.0,0.0,0.0,-0.78,2.62,0.0
20201221:2011,0.0,0.0,0.0,-1.05,2.41,0.0
20201221:2111,0.0,0.0,0.0,-1.16,2.83,0.0
20201221:2211,0.0,0.0,0.0,-1.45,3.1,0.0
20201221:2311,0.0,0.0,0.0,-1.48,2.97,0.0
20201222:0011,0.0,0.0,0.0,-1.26,3.24,0.0
20201222:0111,0.0,0.0,0.0,-1.09,3.45,0.0
20201222:0211,0.0,0.0,0.0,-1.13,3.17,0.0
20201222:0311,0.0,0.0,0.0,-1.14,3.03,0.0
20201222:0411,0.0,0.0,0.0,-1.14,2.76,0.0
20201222:0511,0.0,0.0,0.0,-1.11,2.69,0.0
20201222:0611,0.0,0.0,0.0,-1.07,2.69,0.0
20201222:0711,0.0,0.0,0.0,-1.02,2.69,0.0
20201222:0811,0.0,0.0,0.0,-1.03,2.07,0.0
20201222:0911,0.0,1.63,2.16,-0.99,2.14,0.0
20201222:1011,51.29,71.43,5.28,-0.91,1.86,0.0
20201222:1111,0.63,7.02,6.69,-0.61,1.86,0.0
20201222:1211,0.61,6.98,6.3,-0.8,2.14,0.0
20201222:1311,90.75,113.7,4.13,-1.01,2.41,0.0
20201222:1411,0.0,0.0,0.0,-0.8,2.69,0.0
20201222:1511,0.0,0.0,0.0,-1.2,3.03,0.0
20201222:1611,0.0,0.0,0.0,-1.03,3.45,0.0
20201222:1711,0.0,0.0,0.0,-1.24,3.72,0.0
20201222:1811,0.0,0.0,0.0,-1.16,3.86,0.0
20201222:1911,0.0,0.0,0.0,-1.35,4.0,0.0
20201222:2011,0.0,0.0,0.0,-1.57,4.41,0.0
20201222:2111,0.0,0.0,0.0,-1.49,4.69,0.0
20201222:2211,0.0,0.0,0.0,-1.33,5.17,0.0
20201222:2311,0.0,0.0,0.0,-0.84,5.24,0.0
20201223:0011,0.0,0.0,0.0,-0.98,4.97,0.0
20201223:0111,0.0,0.0,0.0,-1.13,4.83,0.0
20201223:0211,0.0,0.0,0.0,-1.46,4.55,0.0
20201223:0311,0.0,0.0,0.0,-1.7,4.28,0.0
20201223:0411,0.0,0.0,0.0,-1.88,4.14,0.0
20201223:0511,0.0,0.0,0.0,-1.87,4.0,0.0
20201223:0611,0.0,0.0,0.0,-2.19,3.72,0.0
20201223:0711,0.0,0.0,0.0,-3.16,2.83,0.0
20201223:0811,0.0,0.0,0.0,-3.46,2.55,0.0
20201223:0911,1.6,8.98,2.14,-3.76,2.14,0.0
20201223:1011,481.61,533.0,5.27,-4.18,1.86,0.0
20201223:1111,239.17,268.35,6.69,-4.65,1.79,0.0
20201223:1211,529.77,586.6,6.31,-5.23,1.79,0.0
20201223:1311,434.49,475.88,4.16,-5.51,1.86,0.0
20201223:1411,0.0,0.0,0.0,-6.07,2.07,0.0
20201223:1511,0.0,0.0,0.0,-6.46,2.21,0.0
20201223:1611,0.0,0.0,0.0,-6.78,2.21,0.0
20201223:1711,0.0,0.0,0.0,-7.09,2.21,0.0
20201223:1811,0.0,0.0,0.0,-7.4,2.14,0.0
20201223:1911,0.0,0.0,0.0,-6.37,1.93,0.0
20201223:2011,0.0,0.0,0.0,-6.33,1.86,0.0
20201223:2111,0.0,0.0,0.0,-6.79,2.07,0.0
20201223:2211,0.0,0.0,0.0,-6.97,2.21,0.0
20201223:2311,0.0,0.0,0.0,-7.06,2.28,0.0
20201224:0011,0.0,0.0,0.0,-7.48,2.07,0.0
20201224:0111,0.0,0.0,0.0,-7.28,2.14,0.0
20201224:0211,0.0,0.0,0.0,-7.27,2.21,0.0
20201224:0311,0.0,0.0,0.0,-7.83,2.14,0.0
20201224:0411,0.0,0.0,0.0,-8.09,2.14,0.0
20201224:0511,0.0,0.0,0.0,-8.55,2.14,0.0
20201224:0611,0.0,0.0,0.0,-8.87,2.28,0.0
20201224:0711,0.0,0.0,0.0,-9.39,2.34,0.0
20201224:0811,0.0,0.0,0.0,-9.62,2.41,0.0
20201224:0911,0.0,1.63,2.12,-9.99,2.55,0.0
20201224:1011,1.04,7.72,5.26,-10.03,2.69,0.0
20201224:1111,1.58,8.78,6.7,-9.89,2.69,0.0
20201224:1211,0.69,6.98,6.34,-9.84,2.55,0.0
20201224:1311,0.0,4.22,4.19,-9.93,2.41,0.0
20201224:1411,0.0,0.0,0.0,-10.39,2.41,0.0
20201224:1511,0.0,0.0,0.0,-10.8,2.41,0.0
20201224:1611,0.0,0.0,0.0,-11.13,2.41,0.0
20201224:1711,0.0,0.0,0.0,-11.18,2.41,0.0
20201224:1811,0.0,0.0,0.0,-11.56,2.41,0.0
20201224:1911,0.0,0.0,0.0,-10.64,2.41,0.0
20201224:2011,0.0,0.0,0.0,-10.65,2.41,0.0
20201224:2111,0.0,0.0,0.0,-10.75,2.48,0.0
20201224:2211,0.0,0.0,0.0,-10.74,2.55,0.0
20201224:2311,0.0,0.0,0.0,-10.79,2.55,0.0
20201225:0011,0.0,0.0,0.0,-10.95,2.55,0.0
20201225:0111,0.0,0.0,0.0,-11.05,2.55,0.0
20201225:0211,0.0,0.0,0.0,-11.35,2.55,0.0
20201225:0311,0.0,0.0,0.0,-11.77,2.55,0.0
20201225:0411,0.0,0.0,0.0,-12.29,2.55,0.0
20201225:0511,0.0,0.0,0.0,-12.65,2.48,0.0
20201225:0611,0.0,0.0,0.0,-12.96,2.48,0.0
20201225:0711,0.0,0.0,0.0,-12.75,2.55,0.0
20201225:0811,0.0,0.0,0.0,-13.07,2.34,0.0
20201225:0911,0.0,1.63,2.11,-13.12,2.34,0.0
20201225:1011,0.0,5.14,5.26,-12.98,2.21,0.0
20201225:1111,2.1,9.66,6.72,-12.7,2.07,0.0
20201225:1211,0.72,6.98,6.37,-12.86,2.14,0.0
20201225:1311,0.0,4.22,4.24,-13.08,2.14,0.0
20201225:1411,0.0,0.0,0.0,-13.5,2.14,0.0
20201225:1511,0.0,0.0,0.0,-13.85,2.21,0.0
20201225:1611,0.0,0.0,0.0,-13.63,2.07,0.0
20201225:1711,0.0,0.0,0.0,-12.9,1.93,0.0
20201225:1811,0.0,0.0,0.0,-11.78,1.72,0.0
20201225:1911,0.0,0.0,0.0,-10.83,1.52,0.0
20201225:2011,0.0,0.0,0.0,-9.7,1.24,0.0
20201225:2111,0.0,0.0,0.0,-8.65,1.03,0.0
20201225:2211,0.0,0.0,0.0,-8.61,1.31,0.0
20201225:2311,0.0,0.0,0.0,-7.79,1.17,0.0
20201226:0011,0.0,0.0,0.0,-7.16,1.17,0.0
20201226:0111,0.0,0.0,0.0,-6.35,1.1,0.0
20201226:0211,0.0,0.0,0.0,-6.23,1.24,0.0
20201226:0311,0.0,0.0,0.0,-5.86,1.17,0.0
20201226:0411,0.0,0.0,0.0,-5.75,1.24,0.0
20201226:0511,0.0,0.0,0.0,-6.0,1.45,0.0
20201226:0611,0.0,0.0,0.0,-6.02,1.45,0.0
20201226:0711,0.0,0.0,0.0,-6.32,1.45,0.0
20201226:0811,0.0,0.0,0.0,-6.16,1.45,0.0
20201226:0911,0.0,1.63,2.11,-6.3,1.52,0.0
20201226:1011,4.92,14.57,5.28,-5.99,1.45,0.0
20201226:1111,5.7,15.8,6.75,-5.75,1.38,0.0
20201226:1211,5.07,14.84,6.41,-5.61,1.38,0.0
20201226:1311,0.0,4.22,4.29,-5.66,1.52,0.0
20201226:1411,0.0,0.0,0.0,-5.66,1.59,0.0
20201226:1511,0.0,0.0,0.0,-5.66,1.66,0.0
20201226:1611,0.0,0.0,0.0,-5.39,1.72,0.0
20201226:1711,0.0,0.0,0.0,-5.06,1.93,0.0
20201226:1811,0.0,0.0,0.0,-4.56,2.14,0.0
20201226:1911,0.0,0.0,0.0,-4.07,2.55,0.0
20201226:2011,0.0,0.0,0.0,-3.63,2.76,0.0
20201226:2111,0.0,0.0,0.0,-3.31,3.1,0.0
20201226:2211,0.0,0.0,0.0,-3.0,3.38,0.0
20201226:2311,0.0,0.0,0.0,-2.7,3.45,0.0
20201227:0011,0.0,0.0,0.0,-2.4,3.59,0.0
20201227:0111,0.0,0.0,0.0,-2.17,3.72,0.0
20201227:0211,0.0,0.0,0.0,-2.01,4.0,0.0
20201227:0311,0.0,0.0,0.0,-1.94,4.14,0.0
20201227:0411,0.0,0.0,0.0,-1.89,4.48,0.0
20201227:0511,0.0,0.0,0.0,-1.83,4.62,0.0
20201227:0611,0.0,0.0,0.0,-1.8,4.69,0.0
20201227:0711,0.0,0.0,0.0,-1.4,4.34,0.0
20201227:0811,0.0,0.0,0.0,-1.38,4.41,0.0
20201227:0911,0.0,1.63,2.11,-1.22,4.48,0.0
20201227:1011,0.95,7.71,5.29,-1.1,5.17,0.0
20201227:1111,2.39,10.53,6.78,-1.45,5.38,0.0
20201227:1211,1.02,7.86,6.46,-1.94,4.34,0.0
20201227:1311,0.52,6.75,4.35,-2.28,4.34,0.0
20201227:1411,0.0,0.0,0.0,-2.45,4.07,0.0
20201227:1511,0.0,0.0,0.0,-2.52,4.07,0.0
20201227:1611,0.0,0.0,0.0,-2.55,4.07,0.0
20201227:1711,0.0,0.0,0.0,-2.51,3.86,0.0
20201227:1811,0.0,0.0,0.0,-2.57,4.07,0.0
20201227:1911,0.0,0.0,0.0,-2.25,4.0,0.0
20201227:2011,0.0,0.0,0.0,-2.27,3.38,0.0
20201227:2111,0.0,0.0,0.0,-2.3,2.69,0.0
20201227:2211,0.0,0.0,0.0,-2.32,2.41,0.0
20201227:2311,0.0,0.0,0.0,-2.53,2.0,0.0
20201228:0011,0.0,0.0,0.0,-2.62,2.0,0.0
20201228:0111,0.0,0.0,0.0,-2.73,1.72,0.0
20201228:0211,0.0,0.0,0.0,-2.75,1.72,0.0
20201228:0311,0.0,0.0,0.0,-2.8,1.79,0.0
20201228:0411,0.0,0.0,0.0,-2.76,2.28,0.0
20201228:0511,0.0,0.0,0.0,-2.82,2.62,0.0
20201228:0611,0.0,0.0,0.0,-3.02,2.9,0.0
20201228:0711,0.0,0.0,0.0,-3.2,3.03,0.0
20201228:0811,0.0,0.0,0.0,-3.35,2.97,0.0
20201228:0911,0.0,1.63,2.13,-3.55,2.83,0.0
20201228:1011,0.0,5.14,5.32,-3.65,2.83,0.0
20201228:1111,1.5,8.78,6.82,-3.67,3.17,0.0
20201228:1211,3.4,12.23,6.51,-3.61,3.52,0.0
20201228:1311,4.18,13.51,4.42,-3.61,3.31,0.0
20201228:1411,0.0,0.0,0.0,-3.56,3.17,0.0
20201228:1511,0.0,0.0,0.0,-3.56,3.03,0.0
20201228:1611,0.0,0.0,0.0,-3.54,3.59,0.0
20201228:1711,0.0,0.0,0.0,-3.53,3.03,0.0
20201228:1811,0.0,0.0,0.0,-3.45,3.17,0.0
20201228:1911,0.0,0.0,0.0,-3.26,2.83,0.0
20201228:2011,0.0,0.0,0.0,-3.15,3.59,0.0
20201228:2111,0.0,0.0,0.0,-3.12,2.9,0.0
20201228:2211,0.0,0.0,0.0,-3.1,2.48,0.0
20201228:2311,0.0,0.0,0.0,-3.21,2.28,0.0
20201229:0011,0.0,0.0,0.0,-3.19,2.14,0.0
20201229:0111,0.0,0.0,0.0,-3.32,1.93,0.0
20201229:0211,0.0,0.0,0.0,-3.33,1.66,0.0
20201229:0311,0.0,0.0,0.0,-3.44,1.45,0.0
20201229:0411,0.0,0.0,0.0,-3.53,1.38,0.0
20201229:0511,0.0,0.0,0.0,-3.6,1.45,0.0
20201229:0611,0.0,0.0,0.0,-3.6,1.45,0.0
20201229:0711,0.0,0.0,0.0,-3.31,1.24,0.0
20201229:0811,0.0,0.0,0.0,-3.39,1.31,0.0
20201229:0911,0.0,3.25,2.15,-3.3,1.59,0.0
20201229:1011,1.82,9.42,5.35,-3.04,1.45,0.0
20201229:1111,2.42,10.53,6.87,-3.04,1.17,0.0
20201229:1211,0.63,6.99,6.57,-3.0,1.45,0.0
20201229:1311,0.0,5.07,4.49,-2.86,1.79,0.0
20201229:1411,0.0,0.0,0.0,-2.85,1.79,0.0
20201229:1511,0.0,0.0,0.0,-3.03,1.72,0.0
20201229:1611,0.0,0.0,0.0,-2.97,1.66,0.0
20201229:1711,0.0,0.0,0.0,-2.94,1.66,0.0
20201229:1811,0.0,0.0,0.0,-3.1,1.72,0.0
20201229:1911,0.0,0.0,0.0,-2.87,1.86,0.0
20201229:2011,0.0,0.0,0.0,-2.74,1.93,0.0
20201229:2111,0.0,0.0,0.0,-2.67,2.0,0.0
20201229:2211,0.0,0.0,0.0,-2.63,2.21,0.0
20201229:2311,0.0,0.0,0.0,-2.59,2.34,0.0
20201230:0011,0.0,0.0,0.0,-2.49,2.41,0.0
20201230:0111,0.0,0.0,0.0,-2.48,2.34,0.0
20201230:0211,0.0,0.0,0.0,-2.48,2.21,0.0
20201230:0311,0.0,0.0,0.0,-2.51,2.07,0.0
20201230:0411,0.0,0.0,0.0,-2.55,2.0,0.0
20201230:0511,0.0,0.0,0.0,-2.62,1.93,0.0
20201230:0611,0.0,0.0,0.0,-2.67,1.93,0.0
20201230:0711,0.0,0.0,0.0,-2.54,2.28,0.0
20201230:0811,0.0,0.0,0.0,-2.52,2.07,0.0
20201230:0911,0.0,1.63,2.17,-2.59,1.93,0.0
20201230:1011,0.0,5.14,5.4,-2.62,1.79,0.0
20201230:1111,43.05,62.15,6.92,-2.57,1.79,0.0
20201230:1211,70.6,92.35,6.64,-2.69,1.45,0.0
20201230:1311,1.75,9.3,4.57,-2.7,1.24,0.0
20201230:1411,0.0,0.0,0.0,-2.92,1.38,0.0
20201230:1511,0.0,0.0,0.0,-3.22,1.38,0.0
20201230:1611,0.0,0.0,0.0,-3.27,1.17,0.0
20201230:1711,0.0,0.0,0.0,-3.4,1.17,0.0
20201230:1811,0.0,0.0,0.0,-3.67,1.24,0.0
20201230:1911,0.0,0.0,0.0,-4.28,1.31,0.0
20201230:2011,0.0,0.0,0.0,-3.68,1.03,0.0
20201230:2111,0.0,0.0,0.0,-3.65,0.97,0.0
20201230:2211,0.0,0.0,0.0,-4.01,1.03,0.0
20201230:2311,0.0,0.0,0.0,-4.47,1.24,0.0
20201231:0011,0.0,0.0,0.0,-4.8,1.31,0.0
20201231:0111,0.0,0.0,0.0,-4.48,1.17,0.0
20201231:0211,0.0,0.0,0.0,-4.23,0.97,0.0
20201231:0311,0.0,0.0,0.0,-4.4,0.97,0.0
20201231:0411,0.0,0.0,0.0,-5.02,1.17,0.0
20201231:0511,0.0,0.0,0.0,-6.14,1.45,0.0
20201231:0611,0.0,0.0,0.0,-6.75,1.59,0.0
20201231:0711,0.0,0.0,0.0,-5.34,1.17,0.0
20201231:0811,0.0,0.0,0.0,-5.51,1.17,0.0
20201231:0911,1.61,8.94,2.21,-5.48,1.1,0.0
20201231:1011,84.6,106.08,5.44,-5.18,0.97,0.0
20201231:1111,1.08,7.9,6.99,-5.36,0.9,0.0
20201231:1211,2.93,11.36,6.72,-5.24,0.83,0.0
20201231:1311,0.0,4.23,4.66,-5.25,0.9,0.0
20201231:1411,0.0,0.0,0.0,-5.04,0.9,0.0
20201231:1511,0.0,0.0,0.0,-4.95,0.83,0.0
20201231:1611,0.0,0.0,0.0,-4.9,0.83,0.0
20201231:1711,0.0,0.0,0.0,-4.93,0.83,0.0
20201231:1811,0.0,0.0,0.0,-4.81,0.69,0.0
20201231:1911,0.0,0.0,0.0,-5.18,0.69,0.0
20201231:2011,0.0,0.0,0.0,-5.12,0.48,0.0
20201231:2111,0.0,0.0,0.0,-4.91,0.34,0.0
20201231:2211,0.0,0.0,0.0,-4.68,0.28,0.0
20201231:2311,0.0,0.0,0.0,-4.62,0.48,0.0
20210101:0011,0.0,0.0,0.0,-4.91,0.48,0.0
20210101:0111,0.0,0.0,0.0,-4.9,0.48,0.0
20210101:0211,0.0,0.0,0.0,-4.85,0.48,0.0
20210101:0311,0.0,0.0,0.0,-4.87,0.55,0.0
20210101:0411,0.0,0.0,0.0,-5.03,0.62,0.0
20210101:0511,0.0,0.0,0.0,-5.04,0.69,0.0
20210101:0611,0.0,0.0,0.0,-5.21,0.69,0.0
20210101:0711,0.0,0.0,0.0,-7.09,1.24,0.0
20210101:0811,0.0,0.0,0.0,-7.88,1.38,0.0
20210101:0911,0.0,1.63,2.26,-9.29,1.52,0.0
20210101:1011,0.63,6.85,5.52,-10.29,1.59,0.0
20210101:1111,15.6,28.95,7.08,-10.32,1.66,0.0
20210101:1211,0.7,6.99,6.83,-10.46,1.66,0.0
20210101:1311,0.0,4.23,4.78,-10.7,1.66,0.0
20210101:1411,0.0,0.0,0.0,-11.08,1.72,0.0
20210101:1511,0.0,0.0,0.0,-11.35,1.66,0.0
20210101:1611,0.0,0.0,0.0,-11.89,1.72,0.0
20210101:1711,0.0,0.0,0.0,-12.08,1.72,0.0
20210101:1811,0.0,0.0,0.0,-12.34,1.66,0.0
20210101:1911,0.0,0.0,0.0,-9.44,1.38,0.0
20210101:2011,0.0,0.0,0.0,-9.02,1.17,0.0
20210101:2111,0.0,0.0,0.0,-8.37,0.97,0.0
20210101:2211,0.0,0.0,0.0,-7.84,0.83,0.0
20210101:2311,0.0,0.0,0.0,-7.45,0.76,0.0
20210102:0011,0.0,0.0,0.0,-7.34,0.62,0.0
20210102:0111,0.0,0.0,0.0,-7.26,0.48,0.0
20210102:0211,0.0,0.0,0.0,-7.18,0.55,0.0
20210102:0311,0.0,0.0,0.0,-7.02,0.62,0.0
20210102:0411,0.0,0.0,0.0,-7.14,0.62,0.0
20210102:0511,0.0,0.0,0.0,-7.23,0.55,0.0
20210102:0611,0.0,0.0,0.0,-7.19,0.41,0.0
20210102:0711,0.0,0.0,0.0,-8.26,0.76,0.0
20210102:0811,0.0,0.0,0.0,-7.9,0.62,0.0
20210102:0911,0.0,1.62,2.32,-7.52,0.48,0.0
20210102:1011,0.0,5.13,5.58,-7.15,0.48,0.0
20210102:1111,25.26,41.02,7.16,-6.94,0.55,0.0
20210102:1211,10.58,22.72,6.92,-6.72,0.62,0.0
20210102:1311,7.64,18.61,4.89,-6.52,0.76,0.0
20210102:1411,0.0,0.0,0.0,-6.55,0.69,0.0
20210102:1511,0.0,0.0,0.0,-6.63,0.9,0.0
20210102:1611,0.0,0.0,0.0,-6.82,0.69,0.0
20210102:1711,0.0,0.0,0.0,-7.09,0.9,0.0
20210102:1811,0.0,0.0,0.0,-7.67,1.1,0.0
20210102:1911,0.0,0.0,0.0,-10.21,1.31,0.0
20210102:2011,0.0,0.0,0.0,-10.63,1.45,0.0
20210102:2111,0.0,0.0,0.0,-10.72,1.52,0.0
20210102:2211,0.0,0.0,0.0,-10.17,1.59,0.0
20210102:2311,0.0,0.0,0.0,-9.52,1.52,0.0
20210103:0011,0.0,0.0,0.0,-9.32,1.52,0.0
20210103:0111,0.0,0.0,0.0,-9.13,1.52,0.0
20210103:0211,0.0,0.0,0.0,-9.07,1.52,0.0
20210103:0311,0.0,0.0,0.0,-8.72,1.52,0.0
20210103:0411,0.0,0.0,0.0,-8.96,1.59,0.0
20210103:0511,0.0,0.0,0.0,-9.1,1.66,0.0
20210103:0611,0.0,0.0,0.0,-9.22,1.52,0.0
20210103:0711,0.0,0.0,0.0,-10.77,1.59,0.0
20210103:0811,0.0,0.0,0.0,-11.34,1.66,0.0
20210103:0911,0.0,1.62,2.38,-12.24,1.86,0.0
20210103:1011,20.6,34.51,5.66,-12.77,1.86,0.0
20210103:1111,1.16,7.89,7.25,-13.04,1.93,0.0
20210103:1211,1.15,7.87,7.02,-13.23,2.0,0.0
20210103:1311,0.0,5.08,5.0,-13.6,2.07,0.0
20210103:1411,0.0,0.0,0.0,-14.3,2.07,0.0
20210103:1511,0.0,0.0,0.0,-15.17,2.21,0.0
20210103:1611,0.0,0.0,0.0,-15.64,2.14,0.0
20210103:1711,0.0,0.0,0.0,-16.06,2.21,0.0
20210103:1811,0.0,0.0,0.0,-16.06,2.28,0.0
20210103:1911,0.0,0.0,0.0,-16.88,2.21,0.0
20210103:2011,0.0,0.0,0.0,-16.46,2.28,0.0
20210103:2111,0.0,0.0,0.0,-15.82,2.28,0.0
20210103:2211,0.0,0.0,0.0,-15.57,2.28,0.0
20210103:2311,0.0,0.0,0.0,-15.42,2.21,0.0
20210104:0011,0.0,0.0,0.0,-15.43,2.21,0.0
20210104:0111,0.0,0.0,0.0,-15.5,2.21,0.0
20210104:0211,0.0,0.0,0.0,-15.62,2.21,0.0
20210104:0311,0.0,0.0,0.0,-15.65,2.21,0.0
20210104:0411,0.0,0.0,0.0,-15.43,2.14,0.0
20210104:0511,0.0,0.0,0.0,-15.05,2.0,0.0
20210104:0611,0.0,0.0,0.0,-14.52,2.0,0.0
20210104:0711,0.0,0.0,0.0,-15.53,2.0,0.0
20210104:0811,0.0,0.0,0.0,-15.2,2.07,0.0
20210104:0911,0.0,2.43,2.44,-14.82,2.07,0.0
20210104:1011,10.66,22.23,5.74,-14.22,2.0,0.0
20210104:1111,4.24,13.16,7.34,-13.94,2.0,0.0
20210104:1211,1.16,7.87,7.13,-14.07,2.07,0.0
20210104:1311,0.0,5.08,5.12,-14.33,2.07,0.0
20210104:1411,0.0,0.0,0.0,-14.47,2.07,0.0
20210104:1511,0.0,0.0,0.0,-15.21,2.14,0.0
20210104:1611,0.0,0.0,0.0,-15.88,2.21,0.0
20210104:1711,0.0,0.0,0.0,-16.34,2.21,0.0
20210104:1811,0.0,0.0,0.0,-16.37,2.21,0.0
20210104:1911,0.0,0.0,0.0,-16.05,2.21,0.0
20210104:2011,0.0,0.0,0.0,-15.96,2.14,0.0
20210104:2111,0.0,0.0,0.0,-16.13,2.07,0.0
20210104:2211,0.0,0.0,0.0,-16.22,2.07,0.0
20210104:2311,0.0,0.0,0.0,-16.53,2.07,0.0
20210105:0011,0.0,0.0,0.0,-16.3,2.0,0.0
20210105:0111,0.0,0.0,0.0,-16.03,1.86,0.0
20210105:0211,0.0,0.0,0.0,-15.94,1.93,0.0
20210105:0311,0.0,0.0,0.0,-15.8,1.93,0.0
20210105:0411,0.0,0.0,0.0,-15.73,2.0,0.0
20210105:0511,0.0,0.0,0.0,-15.57,2.0,0.0
20210105:0611,0.0,0.0,0.0,-15.2,1.93,0.0
20210105:0711,0.0,0.0,0.0,-15.52,2.0,0.0
20210105:0811,0.0,0.0,0.0,-15.7,1.93,0.0
20210105:0911,0.0,2.43,2.52,-15.67,1.86,0.0
20210105:1011,1.09,7.69,5.83,-15.15,1.72,0.0
20210105:1111,1.18,7.89,7.44,-14.6,1.66,0.0
20210105:1211,1.17,7.87,7.25,-14.52,1.72,0.0
20210105:1311,0.0,5.08,5.25,-15.08,1.79,0.0
20210105:1411,0.0,0.8,1.6,-15.92,1.86,0.0
20210105:1511,0.0,0.0,0.0,-16.48,2.0,0.0
20210105:1611,0.0,0.0,0.0,-16.7,2.0,0.0
20210105:1711,0.0,0.0,0.0,-17.0,2.07,0.0
20210105:1811,0.0,0.0,0.0,-17.27,2.07,0.0
20210105:1911,0.0,0.0,0.0,-20.82,2.14,0.0
20210105:2011,0.0,0.0,0.0,-21.18,2.14,0.0
20210105:2111,0.0,0.0,0.0,-21.48,2.07,0.0
20210105:2211,0.0,0.0,0.0,-21.66,2.14,0.0
20210105:2311,0.0,0.0,0.0,-21.68,2.21,0.0
20210106:0011,0.0,0.0,0.0,-21.85,2.14,0.0
20210106:0111,0.0,0.0,0.0,-21.92,2.21,0.0
20210106:0211,0.0,0.0,0.0,-21.88,2.21,0.0
20210106:0311,0.0,0.0,0.0,-22.12,2.28,0.0
20210106:0411,0.0,0.0,0.0,-21.47,2.34,0.0
20210106:0511,0.0,0.0,0.0,-21.1,2.28,0.0
20210106:0611,0.0,0.0,0.0,-20.8,2.21,0.0
20210106:0711,0.0,0.0,0.0,-21.54,2.28,0.0
20210106:0811,0.0,0.0,0.0,-21.53,2.21,0.0
